brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
A1	IPS LCD	capacitive touchscreen	16M	6.26" inc	97.8 cm2	82.1%	720 x 1520 px	13 MP, Dual	8 MP, Single	Android 9.0 (Pie)	- IMG8322	microSD, up to 256 GB (uses shared SIM slot)	32GB 2GB RAM, 64GB 3GB RAM	- Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)	151.7 Х 75.8 Х 8.1 mm	150 g	3200 mAh,  Non-removable Li-Ion	150 EUR	Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot	Yes (64/3GB model only)	microUSB 2.0, USB On-The-Go	4.2, A2DP, LE	FM radio	Yes
A1	IPS LCD	capacitive touchscreen	16M	5.5" inc	78.1 cm2	77.1%	720 x 1440 px	13 MP, Single	8 MP, Single	Android 8.1 (Oreo)	- Mali-T720MP2	microSD, up to 32 GB	16GB 2GB RAM	- Quad-core 1.3 GHz Cortex-A53	147.1 Х 68.8 Х 8.7 mm	145 g	2900 mAh,  Non-removable Li-Ion	120 EUR	Nano-SIM	GSM / HSPA / LTE	HSPA, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot	Yes	microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	Super AMOLED	capacitive touchscreen	16M	5.5" inc	83.4 cm2	70.2%	1080 x 1920 px	21 MP, Single	8 MP, Single	Android 6.0 (Marshmallow)	- Adreno 418	microSD, up to 256 GB	32 GB, 3 GB RAM	- Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)	156.6 Х 75.9 Х 8.4 mm	150 g	3000 mAh,  Non-removable Li-Po	None	Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot		microUSB 2.0	4.0, A2DP, LE	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	65.3%	720 x 1280 px	8 MP, Single	2 MP, Single	Android 6.0 (Marshmallow)	- Mali-T720MP2	microSD, up to 256 GB	8 GB, 1 GB RAM	- Quad-core 1.25 GHz Cortex-A53	145.5 Х 72.5 Х 8.5 mm	126 g	2000 mAh,  Removable Li-Ion	120 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	71.7%	1080 x 1920 px	13 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	- Mali-T720MP3	microSD, up to 256 GB (uses SIM 2 slot)	32 GB, 3 GB RAM	- Octa-core 1.3 GHz Cortex-A53	153.8 Х 75.6 Х 8.5 mm	169 g	4080 mAh,  Non-removable Li-Po	250 EUR	Single SIM (Micro-SIM)Hybrid Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	66.4%	720 x 1280 px	8 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	- Mali-400MP2 - Z525-Mali-T720MP2 - Z528	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.3 GHz - Z525-Quad-core 1.0 GHz - Z528	145.7 Х 71.2 Х 8.4 mm	125 g	2000 mAh,  Removable Li-Ion	110 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	70.3%	720 x 1280 px	13 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	- Mali-T720MP2	microSD (dedicated slot)	16 GB, 2 GB RAM	- Quad-core 1.3 GHz Cortex-A53	154 Х 77 Х 10 mm	0 g	5000 mAh,  Non-removable Li-Ion	200 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	AMOLED	capacitive touchscreen	16M	5.5" inc	83.4 cm2	70.2%	1080 x 1920 px	21 MP, Single	8 MP, Single	Microsoft Windows 10	- Adreno 418	microSD, up to 256 GB (uses SIM 2 slot)	32 GB, 3 GB RAM	- Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)	156.5 Х 75.9 Х 8.4 mm	150 g	2870 mAh,  Non-removable Li-Po	220 EUR	Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot		3.1, Type-C 1.0 reversible connector	4.0, A2DP, LE, EDR	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	68.8%	720 x 1280 px	13 MP, Single	5 MP, Single	Android 5.0 (Lollipop)	- Mali-T760MP2	microSD, up to 32 GB (uses SIM 2 slot)	8 GB, 1 GB RAM - Liquid Jade Z16 GB, 2 GB RAM - Liquid Jade Z Plus	- Quad-core 1.5 GHz Cortex-A53	143.5 Х 69.8 Х 8 mm	110 g	2300 mAh,  Non-removable Li-Po	200 EUR	Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, EDR	FM radio	Yes
Acer	TFT	capacitive touchscreen		4" inc	45.5 cm2	57.0%	480 x 800 px	5 MP, Single	2 MP, Single	Microsoft Windows Phone 8.1	- Adreno 302	microSD, up to 32 GB (dedicated slot)	4 GB, 512 MB RAM - Liquid M2208 GB, 1 GB RAM - Liquid M220 Plus	- Dual-core 1.2 GHz Cortex-A7	124.9 Х 64 Х 9.6 mm	119 g	1300 mAh,  Removable Li-Ion	80 EUR	Single SIM (Mini-SIM)Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)	GSM / HSPA	HSPA 21.1/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
