brand,technology,display_colors,screen_size,screen_area,screen_to_body_ratio,screen_resolution,rear_camera,front_camera,os,external_memory,internal_memory,cpu,weight,radio,headphone_jack,length,width,high,battery_mah,battery_removable,battery_type,real_price,_4G
A1,IPS LCD,16.0,6.26,97.8,82.1,1094400.0,13.0,8.0,Android 9.0,1.0,2.0,1.6,150.0,1.0,1.0,151.7,75.8,8.1,3200,0.0,Li-Ion,1.0,1.0
A1,IPS LCD,16.0,5.5,78.1,77.1,1036800.0,13.0,8.0,Android 8.1,1.0,2.0,1.3,145.0,1.0,1.0,147.1,68.8,8.7,2900,0.0,Li-Ion,0.0,1.0
Acer,IPS LCD,16.0,5.0,68.9,65.3,921600.0,8.0,2.0,Android 6.0,1.0,1.0,1.25,126.0,1.0,1.0,145.5,72.5,8.5,2000,1.0,Li-Ion,0.0,1.0
Acer,IPS LCD,16.0,5.5,83.4,71.7,2073600.0,13.0,5.0,Android 6.0,1.0,3.0,1.3,169.0,1.0,1.0,153.8,75.6,8.5,4080,0.0,Li-Po,1.0,1.0
Acer,IPS LCD,16.0,5.0,68.9,66.4,921600.0,8.0,5.0,Android 6.0,1.0,1.0,1.3,125.0,1.0,1.0,145.7,71.2,8.4,2000,1.0,Li-Ion,0.0,1.0
Acer,IPS LCD,16.0,5.5,83.4,70.3,921600.0,13.0,5.0,Android 6.0,1.0,2.0,1.3,,1.0,1.0,154.0,77.0,10.0,5000,0.0,Li-Ion,1.0,1.0
Acer,AMOLED,16.0,5.5,83.4,70.2,2073600.0,21.0,8.0,Microsoft Windows 10,1.0,3.0,1.4,150.0,1.0,1.0,156.5,75.9,8.4,2870,0.0,Li-Po,1.0,1.0
Acer,IPS LCD,16.0,5.0,68.9,68.8,921600.0,13.0,5.0,Android 5.0,1.0,1.0,1.5,110.0,1.0,1.0,143.5,69.8,8.0,2300,0.0,Li-Po,1.0,1.0
Acer,TFT,,4.0,45.5,57.0,384000.0,5.0,2.0,Microsoft Windows Phone 8.1,1.0,0.5,1.2,119.0,1.0,1.0,124.9,64.0,9.6,1300,1.0,Li-Ion,0.0,0.0
Acer,IPS LCD,16.0,5.5,83.4,69.0,921600.0,13.0,13.0,Android 5.1,1.0,3.0,1.3,166.0,1.0,1.0,153.3,78.8,8.5,4020,1.0,Li-Po,1.0,1.0
Acer,,,4.0,45.5,56.8,384000.0,5.0,2.0,Android 5.0,1.0,1.0,1.2,120.0,1.0,1.0,125.3,64.0,9.6,1300,1.0,Li-Ion,0.0,0.0
Acer,IPS LCD,16.0,4.5,55.8,61.7,409920.0,5.0,2.0,Android 5.1,1.0,1.0,1.0,142.0,1.0,1.0,136.0,66.5,9.6,2000,1.0,Li-Po,0.0,0.0
Acer,IPS LCD,16.0,4.5,55.8,61.7,409920.0,5.0,5.0,Android 5.1,1.0,1.0,1.1,142.0,1.0,1.0,136.0,66.5,9.6,2000,1.0,Li-Ion,0.0,1.0
Acer,IPS LCD,16.0,4.5,55.8,61.5,518400.0,5.0,2.0,Android 4.4.4,1.0,1.0,1.3,145.0,1.0,1.0,136.0,66.7,9.9,2000,1.0,Li-Po,0.0,1.0
Acer,TFT,,5.0,75.7,57.1,409920.0,8.0,2.0,Android 4.4.2,1.0,1.0,1.3,118.0,1.0,1.0,154.0,86.0,6.4,2000,1.0,Li-Po,0.0,0.0
Acer,IPS LCD,16.0,5.0,68.9,68.1,921600.0,8.0,8.0,Android 5.1,1.0,1.0,1.3,145.0,1.0,1.0,144.0,70.3,8.9,2420,1.0,Li-Ion,1.0,1.0
